Wavelength,Black,Grey,White
872,4.495772864,9.197735175,66.81090647
873,4.496422055,9.198808046,66.78980609
874,4.497531805,9.198009965,66.76820779
875,4.496004206,9.200943743,66.75854281
876,4.500967937,9.20002213,66.74180378
877,4.505715677,9.198446292,66.72365183
878,4.502095431,9.19978002,66.71042859
879,4.504559713,9.196934015,66.69966546
880,4.501028446,9.195158149,66.68741575
881,4.49028498,9.195617256,66.6730916
882,4.500426984,9.199691876,66.661083
883,4.504888294,9.19788818,66.63848689
884,4.507267277,9.194098821,66.6110268
885,4.513624253,9.195061848,66.5878903
886,4.516716005,9.192433352,66.57055852
887,4.515363135,9.192266364,66.55227309
888,4.508537296,9.196899503,66.53070542
889,4.520045092,9.198793024,66.50531842
890,4.521000616,9.1990136,66.48585356
891,4.51706949,9.199881195,66.47068807
892,4.525256113,9.209244826,66.45602297
893,4.523323115,9.206116888,66.44163371
894,4.519200917,9.199438329,66.41949335
895,4.516699738,9.193225684,66.38323595
896,4.518718012,9.201954187,66.36573515
897,4.520514631,9.204375052,66.35123937
898,4.520426628,9.200431593,66.33567684
899,4.510294543,9.195401884,66.30115871
900,4.515995551,9.200460566,66.2839658
901,4.522462464,9.206616971,66.2744121
902,4.51637304,9.206148959,66.2666818
903,4.530550041,9.213020465,66.25546764
904,4.534299672,9.215513851,66.2311437
905,4.525576291,9.211931842,66.19557427
906,4.529698964,9.202313793,66.18770401
907,4.530166517,9.204983244,66.1740042
908,4.529572078,9.209619421,66.1562766
909,4.531239094,9.201961867,66.13551594
910,4.528085112,9.202178061,66.12921974
911,4.52658394,9.201938815,66.11779619
912,4.528398124,9.199657896,66.09693851
913,4.530956212,9.210463162,66.09686828
914,4.535718444,9.213928868,66.08733547
915,4.539703731,9.212828612,66.07346733
916,4.53535449,9.211905177,66.06586721
917,4.534863081,9.213378704,66.05178393
918,4.536530301,9.216855364,66.04038795
919,4.540164314,9.222651903,66.03632465
920,4.542882132,9.220381985,66.01346433
921,4.544501405,9.216638298,65.99881106
922,4.544710317,9.211528399,65.99231529
923,4.541775721,9.204267607,65.99205662
924,4.544254662,9.201030487,65.97926035
925,4.547594551,9.202468212,65.96437906
926,4.548665179,9.2106321,65.95460589
927,4.560295254,9.226751716,65.93929924
928,4.56102013,9.231597302,65.9162434
929,4.552175852,9.225350105,65.88808097
930,4.562819636,9.2259267,65.87893344
931,4.556920047,9.223932526,65.86756559
932,4.54905832,9.222661799,65.85706414
933,4.556137679,9.226428788,65.851668
934,4.542671619,9.214008981,65.83359983
935,4.544503064,9.21268176,65.82070473
936,4.566579579,9.226772602,65.81624493
937,4.549472904,9.22200207,65.80915971
938,4.550942521,9.217007099,65.79407356
939,4.559786613,9.21663692,65.78062815
940,4.557099563,9.23253709,65.78870832
941,4.561168086,9.234909521,65.76387668
942,4.56040806,9.234648587,65.74184658
943,4.550216864,9.234966563,65.73498896
944,4.554986325,9.22347188,65.72292393
945,4.559519152,9.220111907,65.71228381
946,4.562230814,9.223185555,65.69852477
947,4.557256411,9.229003619,65.66569711
948,4.559567414,9.231993556,65.65348833
949,4.561927717,9.230197914,65.64477711
950,4.560290058,9.221219442,65.63102856
951,4.582959584,9.235971919,65.6281229
952,4.589593381,9.243853872,65.61722625
953,4.582609902,9.244136873,65.60066655
954,4.586821601,9.24143355,65.59711602
955,4.588658184,9.2428495,65.57918376
956,4.587234731,9.242094801,65.55694671
957,4.58051899,9.232610004,65.53815681
958,4.572056509,9.242138339,65.52715843
959,4.568828831,9.242017366,65.51301165
960,4.57159441,9.231459866,65.49419176
961,4.575935612,9.247611426,65.47173671
962,4.585641174,9.248192929,65.4724527
963,4.588545597,9.239545653,65.47219081
964,4.563572115,9.227022786,65.4348078
965,4.579088947,9.246231565,65.41975055
966,4.59229757,9.256631071,65.40943581
967,4.592177275,9.247434617,65.39975341
968,4.585642036,9.256532004,65.37081381
969,4.583858978,9.257575733,65.34753306
970,4.585861385,9.254602497,65.32733974
971,4.590485769,9.256997732,65.30456876
972,4.586975661,9.263299451,65.32268275
973,4.579536264,9.265550998,65.32558314
974,4.569235786,9.259131716,65.28385981
975,4.565316241,9.247593244,65.26337045
976,4.578788849,9.242229825,65.23779971
977,4.603147802,9.242729219,65.21415577
978,4.608986482,9.247186802,65.22903111
979,4.591969793,9.253235288,65.21141753
980,4.578811879,9.260939487,65.18028927
981,4.591276902,9.270849846,65.14565272
982,4.579722687,9.266307224,65.12575496
983,4.582770399,9.277710463,65.12039983
984,4.599535622,9.299887699,65.12530864
985,4.588195748,9.262206739,65.10253904
986,4.609996493,9.257782523,65.08743318
987,4.63069038,9.264547973,65.07178262
988,4.621389267,9.19234723,65.24842727
989,4.53461798,9.148732202,65.13986404
990,4.564192813,9.170294802,65.13251976
991,4.647980271,9.237739834,65.19317225
992,4.65826416,9.275490324,65.1698039
993,4.601550986,9.27622505,65.06582217
994,4.588585821,9.261266025,65.00526851
995,4.653271386,9.205646024,65.01464994
996,4.700130252,9.174604674,65.01846038
997,4.641858313,9.234633721,65.01826617
998,4.576902304,9.278892446,65.01659874
999,4.54951271,9.242116614,64.93799923
1000,4.532487634,9.207632839,64.85420296
1001,4.520414166,9.2402698,64.84761134
1002,4.499903158,9.274553985,64.85987789
1003,4.535903514,9.252121436,64.88994716
1004,4.574769006,9.230959047,64.92839444
1005,4.561590065,9.264172313,64.92592055
1006,4.560809147,9.317858481,64.85831132
1007,4.576709761,9.330541877,64.79410888
1008,4.577442202,9.315603002,64.78709108
1009,4.59774156,9.314007253,64.7861969
1010,4.638360324,9.291980663,64.77389387
1011,4.632048539,9.262524782,64.73655927
1012,4.551164404,9.235985825,64.68102456
1013,4.505619483,9.214463916,64.64847663
1014,4.533793419,9.205777245,64.65277653
1015,4.547121765,9.199185245,64.64250686
1016,4.531077399,9.203236331,64.59875358
1017,4.521929466,9.208933369,64.56783881
1018,4.525176577,9.236357739,64.58642761
1019,4.567960167,9.265806274,64.61276489
1020,4.612241986,9.248816831,64.62648049
1021,4.607525876,9.226310202,64.58317651
1022,4.598979134,9.241806019,64.51753351
1023,4.622254721,9.271360773,64.51261063
1024,4.629035661,9.254281944,64.49199625
1025,4.631745842,9.179354929,64.40355934
1026,4.652444261,9.148687077,64.36529314
1027,4.657130279,9.183255391,64.43882271
1028,4.639381829,9.202305515,64.49153214
1029,4.603365242,9.19539756,64.45013977
1030,4.583307611,9.1984077,64.39937479
1031,4.605348145,9.211534731,64.36577468
1032,4.62077249,9.223788139,64.33728801
1033,4.592987629,9.271214216,64.34244278
1034,4.578696337,9.318069344,64.32555611
1035,4.591496364,9.328489198,64.30078514
1036,4.610670275,9.31445051,64.31459387
1037,4.638554525,9.256466184,64.31437524
1038,4.68202703,9.216098307,64.29882788
1039,4.699905451,9.231927953,64.26750666
1040,4.679862346,9.269522977,64.22771712
1041,4.667916594,9.283601298,64.22260443
1042,4.648385415,9.282762594,64.24924923
1043,4.628155954,9.288273377,64.2603512
1044,4.645612027,9.2921624,64.24921851
1045,4.675501181,9.292225234,64.2486861
1046,4.662279418,9.30638931,64.2625852
1047,4.626075246,9.325199825,64.25125794
1048,4.616061094,9.293460704,64.19259035
1049,4.634341042,9.205797418,64.15742118
1050,4.641553011,9.171949443,64.13200223
1051,4.654400256,9.216547119,64.09828856
1052,4.685785916,9.235040958,64.07120578
1053,4.6747915,9.250241222,64.05613703
1054,4.642948642,9.272530571,64.06619862
1055,4.63223952,9.27614363,64.09049867
1056,4.635733616,9.27190331,64.11726587
1057,4.649020474,9.2584657,64.13722408
1058,4.659791479,9.242800431,64.14574994
1059,4.660941868,9.237708089,64.14320322
1060,4.666921742,9.246071005,64.13358901
1061,4.685409067,9.260905201,64.10747388
1062,4.692946799,9.265588126,64.0675076
1063,4.681843907,9.254723206,64.04834118
1064,4.653355228,9.25696924,64.05854011
1065,4.639175038,9.271816182,64.04970005
1066,4.670844654,9.27365222,64.04208233
1067,4.680290065,9.251444161,64.02797121
1068,4.67310496,9.249348262,63.98700009
1069,4.665517168,9.265883426,63.95043746
1070,4.636149122,9.280424902,63.93096357
1071,4.595928232,9.30334669,63.90371269
1072,4.580215999,9.308304979,63.87969681
1073,4.608344476,9.297118395,63.87835277
1074,4.645117389,9.297355044,63.87917783
1075,4.650690484,9.302666667,63.86288804
1076,4.644332573,9.297272963,63.83442067
1077,4.662405822,9.293996623,63.800619
1078,4.679249556,9.290955956,63.7850284
1079,4.675224497,9.292709212,63.78504599
1080,4.681295756,9.318074736,63.78154049
1081,4.684067877,9.347800327,63.76995311
1082,4.700621466,9.348758991,63.74047027
1083,4.724751025,9.325991395,63.72313611
1084,4.738227873,9.304575203,63.73036242
1085,4.74982963,9.29451451,63.73455021
1086,4.740870576,9.274973849,63.69221796
1087,4.716158264,9.245612709,63.62735311
1088,4.695005066,9.234148992,63.59048602
1089,4.696382282,9.240419953,63.58950752
1090,4.722374959,9.255801992,63.60061313
